year,month,day,sazae_hand
2020,9,20,paper
2020,9,27,rock
2020,10,4,scissors
2020,10,11,paper
2020,10,18,scissors
2020,10,25,rock
2020,11,1,scissors
2020,11,8,rock
2020,11,15,paper
2020,11,22,paper
2020,11,29,scissors
2020,12,6,rock
2020,12,13,rock
2020,12,20,paper
2020,12,27,scissors
2021,1,10,scissors
2021,1,17,paper
2021,1,24,rock
2021,1,31,rock
2021,2,7,scissors
2021,2,14,scissors
2021,2,21,paper
2021,2,28,scissors
2021,3,7,rock
2021,3,21,paper
2021,3,28,rock
2021,4,4,scissors
2021,4,11,paper
2021,4,18,rock
2021,4,25,rock
2021,5,2,scissors
2021,5,9,paper
2021,5,16,scissors
2021,5,23,scissors
2021,5,30,rock
2021,6,6,scissors
2021,6,13,paper
2021,6,20,paper
2021,6,27,rock
2021,7,4,scissors
2021,7,11,rock
2021,7,18,scissors
2021,7,25,paper
2021,8,1,rock
2021,8,8,scissors
2021,8,15,paper
2021,8,22,paper
2021,8,29,rock
2021,9,5,scissors
2021,9,12,scissors
2021,9,19,rock
2021,9,26,paper
2021,10,3,rock
2021,10,10,scissors
2021,10,17,paper
2021,10,24,paper
2021,10,31,scissors
2021,11,7,rock
2021,11,14,rock
2021,11,21,scissors
2021,11,28,paper
2021,12,5,scissors
2021,12,12,rock
2021,12,19,rock
2021,12,26,paper
2022,1,9,scissors
2022,1,16,paper
2022,1,23,scissors
2022,2,6,rock
2022,2,13,scissors
2022,2,20,paper
2022,2,27,rock
2022,3,6,rock
2022,3,13,scissors
2022,3,20,scissors
2022,3,27,paper
2022,4,3,scissors
2022,4,10,rock
2022,4,17,rock
2022,4,24,paper
2022,5,8,scissors
2022,5,15,scissors
2022,5,22,rock
2022,5,29,scissors
2022,6,5,paper
2022,6,12,scissors
2022,6,19,rock
2022,6,26,paper
2022,7,3,scissors
2022,7,10,paper
2022,7,17,scissors
2022,7,24,rock
2022,7,31,scissors
2022,8,7,scissors
2022,8,14,paper
2022,8,21,rock
2022,8,28,rock
2022,9,4,scissors
2022,9,11,paper
2022,9,18,rock
2022,9,25,paper
2022,10,2,scissors
2022,10,9,rock
2022,10,16,scissors
2022,10,23,paper
2022,11,6,scissors
2022,11,13,rock
2022,11,20,rock
